State,name,lat,long,test,link
MD,"Wolfe's Deer Shop, Thurmont",39.56908,-77.43525,Voluntary,https://maps.app.goo.gl/UXf5FcFHf8hGX7Ni7
MD,EJ's Taxidermy & Meat Processing,39.59111,-79.22868,Voluntary,https://maps.app.goo.gl/aks42ngqaND8mKEM7
MD,"Yoder's Butcher Barn, Grantsville",39.69855,-79.09961,Voluntary,https://maps.app.goo.gl/op3vgQowJimZ2iTr8
MD,"KS Kuts, Damascus",39.28321,-77.25663,Voluntary,https://maps.app.goo.gl/43rdEJVyXViuXMEd8
MD,"Banzhoff's custom Butchering, Williamsport",39.613702,-77.865295,Voluntary,https://maps.app.goo.gl/D3SqTE5UiKj18R4DA
MD,"Ernst Market, Clear Spring",39.6333058,-77.895258,Voluntary,https://maps.app.goo.gl/4L7GQuL3Lwc2uBjc7
MD,"Holsinger's Meats and Deli, Maugansville",39.6932656,-77.744262,Voluntary,https://maps.app.goo.gl/AyJEEuw5pifc5K588
MD,"Leitersburg Butcher Shop, Hagerstown",39.643089,-77.719427,Voluntary,https://maps.app.goo.gl/jWAomW8zpEETvLu26
MD,"Mountain Trail Butchers, Clear Spring",39.6107959,-77.959678,Voluntary,https://maps.app.goo.gl/W55WqzKwXBUFDbW16
MD,Burger's Custom Slaughterhouse,39.5653022,-77.818595,Voluntary,https://maps.app.goo.gl/hJucVCbNebWEqBG26
CA,CDFW - Santa Rosa Office,38.509,-122.796,Voluntary,https://maps.app.goo.gl/8A4ASQXAfwUT3sxs9
CA,CDFW – Fairfield Office,38.2275,-122.0871,Voluntary,https://maps.app.goo.gl/uYqw1jrNqFw7P3ix6
CA,Del Puerto Rd,37.4204,-121.3455,Voluntary,https://maps.app.goo.gl/oDco4nXKnPUHG5sq7
CA,CDFW – Yountville Office,38.439,-122.352,Voluntary,https://maps.app.goo.gl/CGU2urGev7e155bd9
CA,CDFW - Santa Barbara Office,34.4016,-119.724,Voluntary,https://maps.app.goo.gl/UyBciM8x6q2kAWxS8
CA,Los Gatos Meats,37.233,-121.978,Voluntary,https://maps.app.goo.gl/A9RtbdGF3mN3jeZV9
CA,CDFW – Willits Field Station,39.405,-123.353,Voluntary,https://maps.app.goo.gl/BQKGxb4h9KFVLqBDA
CA,Yolo Bypass Wildlife Area Office,38.556,-121.672,Voluntary,https://maps.app.goo.gl/RDtwC7NGhRw6fpu5A
CA,Hwy 299 - CHP Weigh Station,40.884,-123.963,Voluntary,https://maps.app.goo.gl/o8aHRTCxqe6SvVCu9
CA,CDFW - Eureka Office,40.805,-124.165,Voluntary,https://maps.app.goo.gl/yXjdkHzy9qep3Bak7
CA,CDFW – Yreka Field Station,41.708,-122.643,Voluntary,https://maps.app.goo.gl/MoyBT4YBerRPjMHf8
CA,CDFW – Redding Office,40.575,-122.379,Voluntary,https://maps.app.goo.gl/qan6p1aUHxRPJaxG7
CA,Tehama Wildlife Area,40.269,-121.876,Voluntary,https://maps.app.goo.gl/7xxMoBAWT1f4bRme8
CA,Alturas CalFire Station,41.4912,-120.5347,Voluntary,https://maps.app.goo.gl/JXnL1S5nCVksFpwG6
CA,Honey Lake Wildlife Area,40.353,-120.304,Voluntary,https://maps.app.goo.gl/axmWjPXHBXSKPJhC9
CA,Idaho Butcher Shop,40.414,-120.643,Voluntary,https://maps.app.goo.gl/9BrK8SC8KmFKxzKK6
CA,CDFW – Bishop Office,37.369,-118.397,Mandatory,https://maps.app.goo.gl/ntX6DHyyTzqqisP26
CA,Eastern Sierra Deer Countersigning Station,37.63017,-118.8643,Mandatory,https://maps.app.goo.gl/Ymbpc1pj82ygdvxa7
CA,Beaver’s Sporting Goods,37.95597,-119.1186,Mandatory,https://maps.app.goo.gl/ZTBtBnxXVXjkEfa77
CA,CDFW - Rancho Cordova Office,38.633,-121.229,Voluntary,https://maps.app.goo.gl/7tqgMf84rQKjbKbY8
CA,Gray Lodge Wildlife Area,39.3222,-121.8298,Voluntary,https://maps.app.goo.gl/BGRxEbENXYmSQhK28
CA,USFS Dorrington Fire Station,38.319,-120.262,Voluntary,https://maps.app.goo.gl/ECtLngSiDTMki2Lz7
CA,Hwy 108 and Lyons Reservoir Rd,38.079,-120.164,Voluntary,https://maps.app.goo.gl/ytApc16unz2XmzTV7
CA,Fresno CDFW Office,36.809,-119.767,Mandatory,https://maps.app.goo.gl/M3nKY1bgzxba2ZZQ6
CA,Hwy 168 truck pullout south of Shaver Lake,37.066,-119.358,Mandatory,https://maps.app.goo.gl/c9DcSWE8RUoWG6Vd6
CA,Cold Springs Summit,37.414,-119.494,Mandatory,https://maps.app.goo.gl/7UVUaEmpt3bVXhrr7
CA,"Quail flat trailhead, Sequoia NF",36.722,-118.909,Voluntary,https://maps.app.goo.gl/tmap5VwmSCMvgcpC8
CA,Intersection of roads 21s02 and 21s44 near Blackrock Ranger Station,36.093,-118.264,Voluntary,https://maps.app.goo.gl/fgLfgkDN1QYZAmfv7
CA,Southern Station Greenhorn Summit Hwy 155,35.739,-118.556,Voluntary,https://maps.app.goo.gl/QycS1PwENBU2a3m39
CA,Breckenridge Road and 28s19,35.501,-118.561,Voluntary,https://maps.app.goo.gl/8nSmqF7SE6abJ9dd7
CA,Caliente Creek Rd and Piute Mountain road,35.383,-118.411,Voluntary,https://maps.app.goo.gl/cNsNqjAX6RLYSHzTA
CA,CDFW - Fillmore Fish Hatchery,34.3932,-118.8852,Voluntary,https://maps.app.goo.gl/VqosSRHa9DZdAyHM7
CA,Grade Valley Road & Lockwood Valley Road,34.713,-119.116,Voluntary,https://maps.app.goo.gl/mWbvrsPFCvos2hsb7
CA,CDFW - Ontario office,34.07,-117.573,Voluntary,https://maps.app.goo.gl/Un358C7kKbM4c3Bt9
CA,City Creek USFS Fire Station,34.1856,-117.1811,Voluntary,https://maps.app.goo.gl/mwNkMKHcdWn2ZhAD8
CA,Mill Creek Ranger Station,34.07936,-117.0471,Voluntary,https://maps.app.goo.gl/dLwBoiKKiD2snDQw6
CA,CDFW - Santa Diego Office,32.8133,-117.1202,Voluntary,https://maps.app.goo.gl/RrADVzetkHARXNVcA
CA,Cranston USFS Ranger Station,33.7379,-116.8374,Voluntary,https://maps.app.goo.gl/G8omQQWn5gvvN5NU9
